36 9 10
[[  4.66211244e-01  -4.30972499e-01   5.28479843e-01   1.95174218e-01
    2.77072425e-01  -6.20435722e-01   1.78938229e-01  -5.42213561e-01
    3.56891828e-01  -6.15214574e-02   9.91764289e-01   2.57049693e-02
    6.70277444e-01   7.52494159e-01  -4.16037072e-01   4.99112390e-02
   -6.25091858e-02   6.47729387e-01  -9.94778925e-01  -7.55133174e-01
    5.21959891e-01  -3.95677512e-01  -6.51564833e-01   9.72060591e-01
    6.75100585e-01  -6.78184243e-02   5.19289203e-01   4.58366247e-03
   -3.15461355e-01  -9.52413204e-01   7.89028903e-01  -7.68165572e-01
    2.00726453e-01   1.65504078e-01  -9.90551299e-01   4.61655723e-01]
 [  9.69719094e-02   3.15865594e-01  -6.97417877e-02  -6.91171070e-01
   -8.18114184e-01  -6.44398530e-01  -9.76060778e-01  -8.53435027e-01
    2.10674497e-01   7.31770382e-01   1.88557765e-01   8.60627754e-01
   -6.80549215e-01  -4.69307487e-01  -9.53160066e-01  -7.61226339e-01
   -2.38553056e-01   7.53141551e-01   8.22046400e-01   2.63195101e-01
   -4.63580327e-01  -2.72098661e-01  -4.19784398e-01   6.71540255e-01
   -4.70015108e-01  -9.33545288e-01   6.88041527e-02  -8.16273344e-01
   -7.31441458e-01  -7.97664065e-01   9.48557116e-01   5.29629246e-01
   -6.91491721e-01   3.67363496e-01   5.89588720e-01   7.86581017e-01]
 [  6.65044566e-01  -2.30521611e-01  -7.97952837e-01   3.32079149e-01
    2.49584008e-01   6.06468771e-01   9.84936812e-01  -4.48790395e-01
    6.38102606e-01   9.96451155e-01   5.02537460e-01   1.71233337e-01
   -7.30836778e-01  -1.06960487e-01  -9.30979141e-01  -9.91012568e-01
    4.25537300e-01  -8.87332944e-01  -3.10927227e-01  -3.25673176e-01
    3.03965685e-01  -4.65164039e-01  -4.48296984e-01   4.39895039e-01
   -6.71828601e-01   3.91137229e-01  -1.58899384e-01   6.08170294e-01
    6.85136201e-01   6.01587897e-01  -4.60807255e-01   4.72001662e-01
   -1.80486099e-01  -9.84196869e-01   7.94723321e-01   2.83826181e-01]
 [ -1.35623149e-01  -7.09454691e-01   4.10535675e-01   2.35613315e-01
    8.15429746e-01  -9.53764944e-02  -7.71423202e-01  -8.72030281e-01
    2.06070747e-01   6.14287159e-01   1.95715011e-01  -3.46940020e-01
    4.08030647e-01   8.44405082e-01   3.47048587e-01  -1.26388937e-02
    3.32314260e-01   4.54390091e-01  -2.23048887e-01  -5.41387648e-01
   -8.60434427e-01   3.80319830e-01   5.68813569e-01  -6.99954556e-01
   -6.35968988e-01  -3.86257629e-01  -8.18640959e-01   2.08652324e-01
   -8.43199871e-01   3.65007216e-01  -9.97089045e-01   3.04317789e-01
    3.04803849e-02  -4.44734754e-01  -5.92363274e-01  -3.28505872e-01]
 [  4.50716844e-01  -6.46244605e-01  -4.09368411e-01   5.03270819e-02
   -8.43182368e-01   2.48752701e-01  -4.24257605e-01  -9.38475522e-01
